,No. of Bedrooms,price_lack,price_per_square,city_Encoded,location_Encoded,cities,locations
5928,3.0,10700000,6524.390243902439,3,257,Hyderabad,Narsingi
5942,3.0,10000000,4464.285714285715,3,399,Hyderabad,Tellapur
5945,3.0,9900000,4419.642857142857,3,399,Hyderabad,Tellapur
5970,3.0,9906000,5200.0,3,207,Hyderabad,Kukatpally
5971,3.0,10000000,5194.805194805195,3,207,Hyderabad,Kukatpally
6000,2.0,7847000,6735.622317596567,3,195,Hyderabad,Kondapur
6002,3.0,10000000,6514.657980456026,3,195,Hyderabad,Kondapur
6005,3.0,9900000,4419.642857142857,3,399,Hyderabad,Tellapur
6014,3.0,10700000,6045.197740112994,3,195,Hyderabad,Kondapur
6021,2.0,7240000,6214.592274678112,3,195,Hyderabad,Kondapur
6023,3.0,13000000,9629.62962962963,3,134,Hyderabad,Hitech City
6028,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6029,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6030,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6031,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6032,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6033,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6034,2.0,7744000,6400.0,3,195,Hyderabad,Kondapur
6035,3.0,9760000,6358.306188925081,3,195,Hyderabad,Kondapur
6036,2.0,8500000,6463.878326996198,3,195,Hyderabad,Kondapur
6051,3.0,9822000,5199.576495500265,3,257,Hyderabad,Narsingi
6061,2.0,11800000,6259.946949602122,3,195,Hyderabad,Kondapur
6069,3.0,12300000,7343.2835820895525,3,257,Hyderabad,Narsingi
6070,3.0,12300000,7343.2835820895525,3,257,Hyderabad,Narsingi
6073,3.0,12300000,7343.2835820895525,3,257,Hyderabad,Narsingi
6074,3.0,12300000,7343.2835820895525,3,257,Hyderabad,Narsingi
6075,3.0,12300000,7343.2835820895525,3,257,Hyderabad,Narsingi
6076,3.0,12300000,7343.2835820895525,3,257,Hyderabad,Narsingi
6091,3.0,13000000,6683.8046272493575,3,188,Hyderabad,Kokapet
6097,4.0,45000000,10000.0,3,42,Hyderabad,Banjara Hills
6098,4.0,45000000,10000.0,3,42,Hyderabad,Banjara Hills
6099,4.0,45000000,10000.0,3,42,Hyderabad,Banjara Hills
6112,2.0,6583000,5249.601275917065,3,247,Hyderabad,Nagole
6113,3.0,8977000,5249.707602339181,3,247,Hyderabad,Nagole
6114,4.0,35500000,8728.792721908041,3,207,Hyderabad,Kukatpally
6115,2.0,7500000,5681.818181818182,3,415,Hyderabad,Uppal Kalan
6118,3.0,13500000,7258.064516129032,3,250,Hyderabad,Nallagandla Gachibowli
6121,4.0,27500000,8899.676375404531,3,134,Hyderabad,Hitech City
6122,5.0,66400000,9883.894016076214,3,106,Hyderabad,Gachibowli
6123,2.0,7500000,6276.150627615063,3,195,Hyderabad,Kondapur
6139,2.0,9877000,7933.333333333333,3,253,Hyderabad,Nanakramguda
6140,3.0,13000000,8125.0,3,253,Hyderabad,Nanakramguda
6141,3.0,18800000,8281.93832599119,3,253,Hyderabad,Nanakramguda
6156,3.0,8953000,4699.737532808399,3,31,Hyderabad,Bachupally
6157,3.0,7872000,4699.701492537313,3,31,Hyderabad,Bachupally
6158,3.0,7590000,4699.69040247678,3,31,Hyderabad,Bachupally
6159,2.0,5452000,4700.0,3,31,Hyderabad,Bachupally
6160,3.0,8459000,4699.444444444444,3,31,Hyderabad,Bachupally
6161,2.0,5640000,4700.0,3,31,Hyderabad,Bachupally
6171,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6172,3.0,12000000,6000.0,3,207,Hyderabad,Kukatpally
6176,3.0,23000000,12105.263157894737,3,158,Hyderabad,Jubilee Hills
6177,3.0,22900000,12052.631578947368,3,158,Hyderabad,Jubilee Hills
6179,3.0,23000000,12105.263157894737,3,158,Hyderabad,Jubilee Hills
6180,3.0,14500000,8333.333333333334,3,207,Hyderabad,Kukatpally
6181,3.0,20000000,6359.300476947536,3,212,Hyderabad,Madhapur
6195,2.0,4900000,3602.9411764705883,3,193,Hyderabad,Kompally
6196,2.0,7554000,6191.803278688524,3,195,Hyderabad,Kondapur
6197,3.0,11399999,6047.744827586207,3,195,Hyderabad,Kondapur
6198,2.0,7240000,6214.592274678112,3,195,Hyderabad,Kondapur
6210,3.0,16800000,6829.268292682927,3,253,Hyderabad,Nanakramguda
6228,2.0,5777000,5300.0,3,207,Hyderabad,Kukatpally
6239,2.0,5777000,5300.0,3,207,Hyderabad,Kukatpally
6241,3.0,8502000,5200.0,3,247,Hyderabad,Nagole
6242,3.0,8242000,5200.0,3,247,Hyderabad,Nagole
6244,2.0,9500000,9178.743961352657,3,106,Hyderabad,Gachibowli
6249,2.0,8500000,6746.0317460317465,3,253,Hyderabad,Nanakramguda
6251,2.0,4400000,3520.0,3,31,Hyderabad,Bachupally
6254,3.0,12000000,6976.7441860465115,3,257,Hyderabad,Narsingi
6255,3.0,7540000,5681.9894498869635,3,305,Hyderabad,Rajendra Nagar
6256,3.0,6290000,5666.666666666667,3,305,Hyderabad,Rajendra Nagar
6257,2.0,5290000,5621.679064824654,3,305,Hyderabad,Rajendra Nagar
6262,2.0,12500000,7280.139778683751,3,106,Hyderabad,Gachibowli
6263,2.0,12500000,7280.139778683751,3,106,Hyderabad,Gachibowli
6265,3.0,12600000,5860.46511627907,3,40,Hyderabad,Bandlaguda Jagir
6267,3.0,11600000,5843.828715365239,3,40,Hyderabad,Bandlaguda Jagir
6268,3.0,9563000,6149.83922829582,3,195,Hyderabad,Kondapur
6270,3.0,11600000,5843.828715365239,3,40,Hyderabad,Bandlaguda Jagir
6271,3.0,9563000,6149.83922829582,3,195,Hyderabad,Kondapur
6274,2.0,3900000,3594.4700460829495,3,193,Hyderabad,Kompally
6278,3.0,11399999,6129.031720430107,3,207,Hyderabad,Kukatpally
6279,3.0,11399999,6129.031720430107,3,207,Hyderabad,Kukatpally
6283,2.0,4500000,3896.103896103896,3,108,Hyderabad,Gandipet
6323,3.0,5500000,3333.3333333333335,3,247,Hyderabad,Nagole
6324,3.0,5500000,3333.3333333333335,3,247,Hyderabad,Nagole
6327,3.0,10800000,5760.0,3,188,Hyderabad,Kokapet
6328,3.0,15200000,5984.251968503937,3,188,Hyderabad,Kokapet
6329,4.0,15200000,5779.467680608365,3,188,Hyderabad,Kokapet
6337,4.0,43000000,10565.110565110564,3,212,Hyderabad,Madhapur
6338,3.0,10000000,5000.0,3,236,Hyderabad,Miyapur
6339,2.0,10000000,7722.007722007722,3,195,Hyderabad,Kondapur
6340,3.0,12000000,8053.6912751677855,3,195,Hyderabad,Kondapur
6364,2.0,8095000,6155.893536121673,3,195,Hyderabad,Kondapur
6368,3.0,10700000,6045.197740112994,3,195,Hyderabad,Kondapur
6373,3.0,36500000,10138.888888888889,3,253,Hyderabad,Nanakramguda
6383,3.0,11000000,6060.606060606061,3,195,Hyderabad,Kondapur
6384,3.0,9991000,6129.447852760736,3,195,Hyderabad,Kondapur
6389,3.0,9296000,6056.026058631922,3,195,Hyderabad,Kondapur
6390,2.0,7598999,6522.745922746781,3,195,Hyderabad,Kondapur
6395,2.0,7500000,6276.150627615063,3,195,Hyderabad,Kondapur
6396,2.0,5253000,5415.4639175257735,3,207,Hyderabad,Kukatpally
6401,4.0,25500000,8614.864864864865,3,375,Hyderabad,Shaikpet
6405,3.0,16000000,8533.333333333334,3,375,Hyderabad,Shaikpet
6406,3.0,23000000,12105.263157894737,3,158,Hyderabad,Jubilee Hills
6409,3.0,19500000,8297.872340425532,3,134,Hyderabad,Hitech City
6413,3.0,19500000,8297.872340425532,3,134,Hyderabad,Hitech City
6421,3.0,9449000,6155.700325732899,3,195,Hyderabad,Kondapur
6425,3.0,10600000,5988.700564971751,3,195,Hyderabad,Kondapur
6428,3.0,10600000,5988.700564971751,3,195,Hyderabad,Kondapur
6433,3.0,9525000,5000.0,3,207,Hyderabad,Kukatpally
6439,3.0,9300000,6413.793103448276,3,207,Hyderabad,Kukatpally
6440,3.0,9300000,6413.793103448276,3,207,Hyderabad,Kukatpally
6520,2.0,5000000,4347.826086956522,3,247,Hyderabad,Nagole
6521,3.0,22000000,9166.666666666666,3,42,Hyderabad,Banjara Hills
6531,3.0,34000000,10691.82389937107,3,106,Hyderabad,Gachibowli
6551,3.0,7962000,5548.432055749129,3,207,Hyderabad,Kukatpally
6554,3.0,10700000,5616.797900262467,3,207,Hyderabad,Kukatpally
6555,2.0,6168000,5658.715596330275,3,207,Hyderabad,Kukatpally
6556,2.0,6895999,5606.50325203252,3,207,Hyderabad,Kukatpally
6557,3.0,10700000,5572.916666666667,3,207,Hyderabad,Kukatpally
6559,1.0,6233000,5327.350427350428,3,207,Hyderabad,Kukatpally
6583,3.0,10500000,4964.5390070921985,3,188,Hyderabad,Kokapet
6621,3.0,8298999,5395.968140442133,3,399,Hyderabad,Tellapur
6622,3.0,8800000,5244.338498212157,3,399,Hyderabad,Tellapur
6623,3.0,8800000,5244.338498212157,3,399,Hyderabad,Tellapur
6671,2.0,8573000,7204.201680672269,3,207,Hyderabad,Kukatpally
6689,2.0,6895999,5606.50325203252,3,207,Hyderabad,Kukatpally
6698,2.0,6200000,5170.975813177648,3,399,Hyderabad,Tellapur
6716,2.0,14600000,7475.678443420379,3,106,Hyderabad,Gachibowli
6717,4.0,26000000,7571.3453698311005,3,106,Hyderabad,Gachibowli
6736,2.0,6895999,5606.50325203252,3,207,Hyderabad,Kukatpally
6788,3.0,9581000,5799.636803874092,3,207,Hyderabad,Kukatpally
6789,4.0,26100000,8293.612964728312,3,134,Hyderabad,Hitech City
6790,4.0,25600000,8284.789644012944,3,134,Hyderabad,Hitech City
6791,4.0,25200000,8278.580814717478,3,134,Hyderabad,Hitech City
6792,3.0,17000000,8288.639687957095,3,134,Hyderabad,Hitech City
6793,4.0,29000000,8290.451686678101,3,134,Hyderabad,Hitech City
6794,4.0,25700000,8287.649145436955,3,134,Hyderabad,Hitech City
6795,4.0,25299999,8297.802230239422,3,134,Hyderabad,Hitech City
6796,3.0,14400000,8285.385500575374,3,134,Hyderabad,Hitech City
6797,2.0,11200000,8265.682656826568,3,134,Hyderabad,Hitech City
6798,2.0,11000000,8245.877061469266,3,134,Hyderabad,Hitech City
6799,2.0,11100000,8246.65676077266,3,134,Hyderabad,Hitech City
6800,2.0,11000000,8289.37452901281,3,134,Hyderabad,Hitech City
6801,3.0,9581000,5799.636803874092,3,207,Hyderabad,Kukatpally
6802,2.0,9942000,6749.4908350305495,3,195,Hyderabad,Kondapur
6803,3.0,17500000,6712.696586114308,3,195,Hyderabad,Kondapur
6804,3.0,18900000,6750.0,3,195,Hyderabad,Kondapur
6805,3.0,14700000,6706.204379562044,3,195,Hyderabad,Kondapur
6806,3.0,19000000,6749.55595026643,3,195,Hyderabad,Kondapur
6807,3.0,16500000,6729.200652528548,3,195,Hyderabad,Kondapur
6808,3.0,14700000,6709.26517571885,3,195,Hyderabad,Kondapur
6809,3.0,18900000,6718.805545680768,3,195,Hyderabad,Kondapur
6810,2.0,8707000,6749.612403100775,3,195,Hyderabad,Kondapur
6811,2.0,8775000,6750.0,3,195,Hyderabad,Kondapur
6812,2.0,9234000,6750.0,3,195,Hyderabad,Kondapur
6815,4.0,23000000,11224.987798926306,3,134,Hyderabad,Hitech City
6816,4.0,29000000,8299.942759015456,3,134,Hyderabad,Hitech City
6817,2.0,11000000,8233.532934131737,3,134,Hyderabad,Hitech City
6818,3.0,12400000,6702.7027027027025,3,195,Hyderabad,Kondapur
6819,2.0,10100000,6733.333333333333,3,195,Hyderabad,Kondapur
6826,2.0,6676000,5298.412698412699,3,250,Hyderabad,Nallagandla Gachibowli
6827,3.0,9066000,5348.672566371682,3,250,Hyderabad,Nallagandla Gachibowli
6828,3.0,9949000,5348.924731182796,3,250,Hyderabad,Nallagandla Gachibowli
6829,3.0,7600000,5000.0,3,37,Hyderabad,Balanagar
6830,3.0,8275000,5000.0,3,37,Hyderabad,Balanagar
6831,3.0,8325000,5000.0,3,37,Hyderabad,Balanagar
6832,3.0,9126000,5200.0,3,37,Hyderabad,Balanagar
6833,3.0,8825000,5000.0,3,37,Hyderabad,Balanagar
6834,3.0,10000000,5154.639175257732,3,37,Hyderabad,Balanagar
6835,2.0,7243000,5748.412698412699,3,250,Hyderabad,Nallagandla Gachibowli
6836,3.0,11000000,6489.675516224189,3,250,Hyderabad,Nallagandla Gachibowli
6837,3.0,10600000,5698.924731182796,3,250,Hyderabad,Nallagandla Gachibowli
6847,2.0,6323000,4998.418972332016,3,250,Hyderabad,Nallagandla Gachibowli
6848,2.0,6348000,4998.425196850394,3,250,Hyderabad,Nallagandla Gachibowli
6849,2.0,7553000,4998.67637326274,3,250,Hyderabad,Nallagandla Gachibowli
6850,3.0,6348000,4998.425196850394,3,250,Hyderabad,Nallagandla Gachibowli
6851,3.0,8323000,4998.798798798799,3,250,Hyderabad,Nallagandla Gachibowli
6852,2.0,7272000,5748.616600790514,3,250,Hyderabad,Nallagandla Gachibowli
6853,3.0,7150000,5000.0,3,37,Hyderabad,Balanagar
6854,3.0,8050000,5000.0,3,37,Hyderabad,Balanagar
6855,3.0,6600000,5000.0,3,37,Hyderabad,Balanagar
