,Area,Location,No. of Bedrooms,City,price_lack
5298,650,Uttam Nagar,2.0,Delhi,2899000
5299,800,Uttam Nagar,3.0,Delhi,4400000
5300,500,Saket,1.0,Delhi,6100000
5301,750,Chattarpur,2.0,Delhi,3200000
5302,810,nawada,3.0,Delhi,4700000
5303,770,nawada,3.0,Delhi,4000000
5304,720,nawada,3.0,Delhi,4000000
5305,650,Uttam Nagar,2.0,Delhi,2700000
5306,450,Uttam Nagar,2.0,Delhi,2800000
5307,700,nawada,3.0,Delhi,3400000
5308,800,Dwarka Mor,3.0,Delhi,4000000
5309,850,Dwarka Mor,3.0,Delhi,3600000
5310,550,Dwarka Mor,2.0,Delhi,2500000
5311,810,nawada,3.0,Delhi,4200000
5312,750,Uttam Nagar,3.0,Delhi,4200000
5313,900,Dwarka Mor,3.0,Delhi,4500000
5314,800,Uttam Nagar,3.0,Delhi,4300000
5315,750,Chattarpur,2.0,Delhi,3200000
5316,750,Chattarpur,2.0,Delhi,3200000
5317,600,Vasant Kunj,1.0,Delhi,7000000
5318,1700,Vasant Kunj,3.0,Delhi,23000000
5319,600,Paschim Vihar,1.0,Delhi,5000000
5320,1100,Paschim Vihar,3.0,Delhi,9500000
5321,1800,Paschim Vihar,3.0,Delhi,18000000
5322,450,Mahipalpur,2.0,Delhi,2800000
5323,800,Mehrauli,2.0,Delhi,4500000
5324,800,Mehrauli,2.0,Delhi,5000000
5325,1000,Mehrauli,2.0,Delhi,6200000
5326,850,Mahipalpur,2.0,Delhi,2800000
5327,1500,Mehrauli,3.0,Delhi,10000000
5328,800,Vasant Kunj,2.0,Delhi,3000000
5329,800,Mahipalpur,2.0,Delhi,3000000
5330,800,Mahipalpur,2.0,Delhi,3000000
5331,1100,Vasant Kunj,2.0,Delhi,11000000
5332,581,Sector 6 Dwarka,1.0,Delhi,6500000
5333,1700,Vasant Kunj,2.0,Delhi,18000000
5334,581,Vasant Kunj,1.0,Delhi,6798999
5335,900,Vasant Kunj,2.0,Delhi,16500000
5336,1000,Uttam Nagar,3.0,Delhi,7000000
